"","err_1paso","err_2paso","err_3paso","err_4paso","err_5paso","err_6paso","err_7paso","err_8paso","err_9paso","err_10paso","err_11paso","err_12paso"
"Simul_1",0.000180381901313531,0.00202646505103288,0.00282783521043485,0.00298132524244602,0.0030861386483235,0.00305836028205187,0.00299568485409739,0.00288788323278704,0.0029699106583921,0.00393124807413163,0.00495386842668284,0.00630440130243923
"Simul_2",0.000668304945679488,0.00179887328962021,0.00450723029236909,0.00577982155150165,0.00661684734541012,0.00688989949193351,0.00685754729176655,0.00656520033955415,0.0062000497547292,0.00601138061648165,0.00648197264228069,0.00710033568228292
"Simul_3",0.00362097285396867,0.00669633822611369,0.00790639217994997,0.0086346801410224,0.00875732651170694,0.00858073486317134,0.00814887091239454,0.00762382637705408,0.00727776724187815,0.00755158189880095,0.00802179536531146,0.00843252399589791
"Simul_4",0.00222208090089993,0.00198832872418692,0.00187962736755257,0.0016307441038607,0.00159585582949227,0.00229592863351751,0.00416891122526757,0.00588913972936315,0.00836865631176685,0.0103286146481506,0.0117492362698209,0.0123648123026585
"Simul_5",0.00254775621877279,0.00326746152119006,0.00379947483457112,0.00404817982250153,0.00430491681395852,0.00493814770243131,0.00536901572958919,0.00650470712950334,0.00737992660640754,0.00792000404753205,0.00790966279725464,0.00759036333596649
"Simul_6",0.00054319070712161,0.000497314088401135,0.00128007060736738,0.00282281644559549,0.00535307061564333,0.0074407486856341,0.0103275814820374,0.0125506899772611,0.0141464223719995,0.014858881927461,0.0148732249325642,0.0149188592574019
"Simul_7",0.00156592066703887,0.00270845790906021,0.00444724413097699,0.00719209029255016,0.00942950593137015,0.0124477919766737,0.014763537492099,0.0164136051836574,0.0171110329389953,0.0170778516352685,0.0170902796804482,0.0170502601973408
"Simul_8",0.00043885034746971,0.00183939460703719,0.00449527559480983,0.00637778259189354,0.0092396326888571,0.0112413897940532,0.012525109283382,0.0128307817181426,0.0124827074844336,0.012197329497849,0.0118900548865487,0.0117665838391631
"Simul_9",0.00187190423219707,0.00487992664692627,0.00680670985297365,0.00994251575377175,0.0120813123490909,0.0134590533430708,0.0137972119855614,0.0134284447377566,0.0131660410075745,0.0128965887153549,0.0128710263140479,0.0132654339520382
"Simul_10",0.00326073619670364,0.00442864254431445,0.00745540317367581,0.00927506466864859,0.0103279725968415,0.0103430428790442,0.00977526439376639,0.00934805094269594,0.00895633126316519,0.00879584949550368,0.00906284625012403,0.00956906819057357
"Simul_11",0.000614631912208452,0.00280199229229439,0.00379585322807914,0.00424277821281329,0.00389566353102705,0.00382769585201196,0.00376663859902029,0.00384446597619,0.00369828284973274,0.00356103978318111,0.00363497225993592,0.00416878120389194
"Simul_12",0.00485881825032308,0.00565197478074263,0.00593311115153079,0.00533485500451292,0.00491348713516027,0.00460720947783089,0.00447394023677111,0.00421602365009811,0.00405944761435302,0.00413670286088756,0.00468410349962178,0.00539009215060856
"Simul_13",0.00276185259355888,0.00420391775995543,0.00689511046297617,0.0102476853899128,0.011907035085175,0.0132275892111421,0.0137872377364079,0.013725378151362,0.0134884678803199,0.0130696641458353,0.0126362546007619,0.0121601820369854
"Simul_14",0.000181477450783341,0.00253871697891218,0.00562880214420549,0.00666112731115839,0.0075091245274166,0.0076379682358312,0.00726610956218062,0.0068442537168651,0.00646418318748947,0.00620479019597399,0.00618129041533033,NA
"Simul_15",0.00356062497141529,0.00690756920212721,0.0077911950172133,0.0085862629009385,0.00864528144771831,0.00818390322065299,0.00768571502177554,0.00718966277794134,0.00679407783334296,0.00657778430539083,NA,NA
"Simul_16",0.00243179312833242,0.00178087060698805,0.0015434305732571,0.00153128225928245,0.00268211989224787,0.003854854698073,0.00541364606121893,0.00673658854476051,0.00820883364744161,NA,NA,NA
"Simul_17",0.00363653410277287,0.0040275990369249,0.00524251775916034,0.00712203330186178,0.00864918276896963,0.0103806357261635,0.0118372814920623,0.0133890355727637,NA,NA,NA,NA
"Simul_18",0.00229038801941428,0.00186457041595478,0.00187600870927376,0.00249602363031546,0.00390217264997264,0.00510556247736726,0.0065338349648175,NA,NA,NA,NA,NA
"Simul_19",0.00289287928538506,0.00547995357060707,0.00710931106184179,0.00901218328811792,0.0105009786811724,0.0121014854402187,NA,NA,NA,NA,NA,NA
"Simul_20",0.00193271564719311,0.00249555092316173,0.00395846175475973,0.00506515893075026,0.00646325464058241,NA,NA,NA,NA,NA,NA,NA
"Simul_21",0.000460042284140094,0.0012752926844503,0.00204335883363688,0.00344405149113161,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_22",0.00252358987533086,0.00338151817296153,0.00487690211222989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_23",0.000619765952155404,0.000905708615045294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_24",0.00220995805780966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
