;IPC;var_mom;var_yoy
may-15;85.12;0.26;4.4
jun-15;85.21;0.11;4.41
jul-15;85.37;0.19;4.45
ago-15;85.78;0.48;4.74
sep-15;86.39;0.71;5.34
oct-15;86.98;0.68;5.89
nov-15;87.51;0.61;6.4
dic-15;88.05;0.62;6.77
ene-16;89.19;1.29;7.46
feb-16;90.33;1.28;7.59
mar-16;91.18;0.94;7.97
abr-16;91.63;0.49;7.93
may-16;92.1;0.51;8.2
jun-16;92.54;0.48;8.6
jul-16;93.02;0.52;8.96
ago-16;92.73;-0.31;8.1
sep-16;92.68;-0.05;7.28
oct-16;92.62;-0.06;6.48
nov-16;92.73;0.12;5.97
dic-16;93.11;0.41;5.75
ene-17;94.07;1.03;5.47
feb-17;95.01;1;5.18
mar-17;95.46;0.47;4.69
abr-17;95.91;0.47;4.67
may-17;96.12;0.22;4.36
jun-17;96.23;0.11;3.99
jul-17;96.18;-0.05;3.4
ago-17;96.32;0.15;3.87
sep-17;96.36;0.04;3.97
oct-17;96.37;0.01;4.05
nov-17;96.55;0.19;4.12
dic-17;96.92;0.38;4.09
ene-18;97.53;0.63;3.68
feb-18;98.22;0.71;3.38
mar-18;98.45;0.23;3.13
abr-18;98.91;0.47;3.13
may-18;99.16;0.25;3.16
jun-18;99.31;0.15;3.2
jul-18;99.18;-0.13;3.12
ago-18;99.3;0.12;3.09
sep-18;99.47;0.17;3.23
oct-18;99.59;0.12;3.34
nov-18;99.7;0.11;3.26
dic-18;100;0.3;3.18
ene-19;100.6;0.6;3.15
feb-19;101.18;0.58;3.01
mar-19;101.62;0.43;3.22
abr-19;102.12;0.49;3.25
may-19;102.44;0.31;3.31
jun-19;102.71;0.26;3.42
jul-19;102.94;0.22;3.79
ago-19;103.03;0.09;3.76
sep-19;103.26;0.22;3.81
oct-19;103.43;0.16;3.86
nov-19;103.54;0.11;3.85
dic-19;103.8;0.25;3.8
ene-20;104.24;0.42;3.62
feb-20;104.94;0.67;3.72
mar-20;105.53;0.56;3.85
abr-20;105.7;0.16;3.51
may-20;105.36;-0.32;2.85
jun-20;104.97;-0.37;2.2
jul-20;104.97;0;1.97
ago-20;104.96;-0.01;1.87
sep-20;105.29;0.31;1.97
oct-20;105.23;-0.06;1.74
nov-20;105.08;-0.14;1.49
dic-20;105.48;0.38;1.62
ene-21;105.91;0.41;1.6
feb-21;106.58;0.63;1.56
mar-21;107.12;0.51;1.51
abr-21;107.76;0.6;1.95
may-21;108.84;1;3.3
jun-21;108.78;-0.06;3.63
jul-21;109.14;0.33;3.97
ago-21;109.62;0.44;4.44
sep-21;110.04;0.38;4.51
oct-21;110.06;0.02;4.59
nov-21;110.6;0.49;5.25
dic-21;111.41;0.73;5.62
ene-22;113.26;1.66;6.94
feb-22;115.11;1.63;8
mar-22;116.26;1;8.53
abr-22;117.71;1.25;9.23
may-22;118.7;0.84;9.06
jun-22;119.31;0.51;9.68
jul-22;120.27;0.8;10.2
ago-22;121.5;1.02;10.84
sep-22;122.63;0.93;11.44
oct-22;123.51;0.72;12.22
nov-22;124.46;0.77;12.53
dic-22;126.03;1.26;13.12
ene-23;128.27;1.78;13.25
feb-23;130.4;1.66;13.28
mar-23;131.77;1.05;13.34
abr-23;132.8;0.78;12.82
may-23;133.38;0.44;12.37
jun-23;135.4633585;1.56;13.54
jul-23;133.0922362;-1.75;10.66
ago-23;136.6014356;2.64;12.43
sep-23;135.2210611;-1.01;10.27
oct-23;137.4683143;1.66;11.3
nov-23;136.5766357;-0.65;9.74
dic-23;141.1536;3.35;12
ene-24;139.5394397;-1.14;8.79
feb-24;145.7312734;4.44;11.76
mar-24;143.3920656;-1.61;8.82
abr-24;145.9824907;1.81;9.93
may-24;146.3466054;0.25;9.72
jun-24;145.4789107;-0.59;7.39
jul-24;149.0543625;2.46;11.99
ago-24;145.0996283;-2.65;6.22
sep-24;151.7201719;4.56;12.2
oct-24;143.7413562;-5.26;4.56
nov-24;152.7093149;6.24;11.81
dic-24;148.21128;-2.95;5
