"","esta. prueba","p-valor"
"1_paso",-0.364798395406327,0.359297388842142
"2_pasos",-0.756554555717881,0.228498481551903
"3_pasos",-1.10152265412396,0.141031765717245
"4_pasos",-1.18220696246968,0.124600995329479
"5_pasos",-1.30599837686849,0.102232360238869
"6_pasos",-1.74748541991508,0.0469468096086895
"7_pasos",-2.1553248278897,0.0209200019938396
"8_pasos",-2.37303364807908,0.0131907204299067
"9_pasos",-1.90880885506376,0.0344212277019304
"10_pasos",-1.88722204045783,0.035907405006583
"11_pasos",-0.795680584395035,0.217176656155767
"12_pasos",0.53154541685373,0.699931192600113
