"","","var_mom","var_yoy"
"204",93.11,0.41,5.75
"205",94.07,1.03,5.47
"206",95.01,1,5.18
"207",95.46,0.47,4.69
"208",95.91,0.47,4.67
"209",96.12,0.22,4.36
"210",96.23,0.11,3.99
"211",96.18,-0.05,3.4
"212",96.32,0.15,3.87
"213",96.36,0.04,3.97
"214",96.37,0.01,4.05
"215",96.55,0.19,4.12
"216",96.92,0.38,4.09
"217",97.53,0.63,3.68
"218",98.22,0.71,3.38
"219",98.45,0.23,3.13
"220",98.91,0.47,3.13
"221",99.16,0.25,3.16
"222",99.31,0.15,3.2
"223",99.18,-0.13,3.12
"224",99.3,0.12,3.09
"225",99.47,0.17,3.23
"226",99.59,0.12,3.34
"227",99.7,0.11,3.26
"228",100,0.3,3.18
"229",100.6,0.6,3.15
"230",101.18,0.58,3.01
"231",101.62,0.43,3.22
"232",102.12,0.49,3.25
"233",102.44,0.31,3.31
"234",102.71,0.26,3.42
"235",102.94,0.22,3.79
"236",103.03,0.09,3.76
"237",103.26,0.22,3.81
"238",103.43,0.16,3.86
"239",103.54,0.11,3.85
"240",103.8,0.25,3.8
"241",104.24,0.42,3.62
"242",104.94,0.67,3.72
"243",105.53,0.56,3.85
"244",105.7,0.16,3.51
"245",105.36,-0.32,2.85
"246",104.97,-0.37,2.2
"247",104.97,0,1.97
"248",104.96,-0.01,1.87
"249",105.29,0.31,1.97
"250",105.23,-0.06,1.74
"251",105.08,-0.14,1.49
"252",105.48,0.38,1.62
"253",105.91,0.41,1.6
"254",106.58,0.63,1.56
"255",107.12,0.51,1.51
"256",107.76,0.6,1.95
"257",108.84,1,3.3
"258",108.78,-0.06,3.63
"259",109.14,0.33,3.97
"260",109.62,0.44,4.44
"261",110.04,0.38,4.51
"262",110.06,0.02,4.59
"263",110.6,0.49,5.25
"264",111.41,0.73,5.62
"265",113.26,1.66,6.94
"266",115.11,1.63,8
"267",116.26,1,8.53
"268",117.71,1.25,9.23
"269",118.7,0.84,9.06
"270",119.31,0.51,9.68
"271",120.27,0.8,10.2
"272",121.5,1.02,10.84
"273",122.63,0.93,11.44
"274",123.51,0.72,12.22
"275",124.46,0.77,12.53
"276",126.03,1.26,13.12
"277",128.27,1.78,13.25
"278",130.4,1.66,13.28
"279",131.77,1.05,13.34
"280",132.8,0.78,12.82
"281",133.38,0.44,12.37
"282",136.91640543877,2.65,14.76
"283",137.521667427887,0.44,14.34
"284",138.194810276321,0.49,13.74
"285",138.830504787569,0.46,13.21
"286",138.978847884628,0.11,12.52
"287",138.611695436887,-0.26,11.37
"288",137.3727,-0.89,9
"289",141.467665528012,2.98,10.29
"290",141.673262449461,0.15,8.65
"291",141.062665444774,-0.43,7.05
"292",140.243401116114,-0.58,5.6
"293",139.10686272338,-0.81,4.29
"294",137.695423374889,-1.01,0.57
"295",136.450174671934,-0.9,-0.78
"296",135.433408193695,-0.75,-2
"297",134.933621950574,-0.37,-2.81
"298",135.090571675062,0.12,-2.8
"299",137.294769623004,1.63,-0.95
"300",144.241335,5.06,5
